"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 02 11:30:53 GMT 2025","Fri May 02 11:30:55 GMT 2025","1505","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri May 02 11:31:01 GMT 2025","Fri May 02 11:31:01 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Fri May 02 11:31:01 GMT 2025","Fri May 02 11:31:01 GMT 2025","0","tests.pytest","test_markers","TestsUserAuthentication","","","test_login",""
"passed","Fri May 02 11:30:50 GMT 2025","Fri May 02 11:30:52 GMT 2025","2325","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri May 02 11:30:57 GMT 2025","Fri May 02 11:30:58 GMT 2025","1514","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Fri May 02 11:30:52 GMT 2025","Fri May 02 11:30:54 GMT 2025","1562","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri May 02 11:31:01 GMT 2025","Fri May 02 11:31:01 GMT 2025","0","tests.pytest","test_markers","TestsUserAuthentication","","","test_logout",""
"passed","Fri May 02 11:30:59 GMT 2025","Fri May 02 11:31:02 GMT 2025","2805","LMS system","Courses","Courses","","","test_edit_course[chromium]",""
"passed","Fri May 02 11:31:01 GMT 2025","Fri May 02 11:31:01 GMT 2025","0","tests.pytest","test_markers","TestsUserAuthentication","","","test_password_reset",""
"passed","Fri May 02 11:31:01 GMT 2025","Fri May 02 11:31:01 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Fri May 02 11:30:56 GMT 2025","Fri May 02 11:30:57 GMT 2025","1708","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Fri May 02 11:31:02 GMT 2025","Fri May 02 11:31:04 GMT 2025","1474","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Fri May 02 11:30:54 GMT 2025","Fri May 02 11:30:56 GMT 2025","1326","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Fri May 02 11:31:01 GMT 2025","Fri May 02 11:31:01 GMT 2025","0","tests.pytest","test_markers","TestSuite","","","test_case1",""
"passed","Fri May 02 11:31:01 GMT 2025","Fri May 02 11:31:01 GMT 2025","1","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Fri May 02 11:30:50 GMT 2025","Fri May 02 11:30:53 GMT 2025","3473","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Fri May 02 11:30:58 GMT 2025","Fri May 02 11:31:01 GMT 2025","2366","LMS system","Courses","Courses","","","Create course",""
